#n       v0 (ijk)     v1 (kij)    v2 (jki)        v3(8)     v3(16)  v3(32)     v3(64)
512    0.190  0.078   1.012      0.087      0.096  0.135      0.161
1024   6.721   0.823  15.016     0.893      0.840  1.095      1.321
2048   75.610 7.232   180.319    7.561      7.244  12.818     12.250
